Body,Mass,Px,Py,Pz,Vx,Vy,Vz,Time
0,100000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
1,500.000000,2000.000000,0.000000,0.000000,0.000000,2.236000,0.000000,0.0
2,750.000000,-3000.000000,0.000000,0.000000,0.000000,-1.825000,0.000000,0.0
3,25.000000,4000.000000,0.000000,0.000000,0.000000,1.581000,0.000000,0.0
4,300.000000,-5000.000000,0.000000,0.000000,0.000000,-1.414000,0.000000,0.0
5,200.000000,6000.000000,0.000000,0.000000,0.000000,1.291000,0.000000,0.0
6,400.000000,-7000.000000,0.000000,0.000000,0.000000,-1.195000,0.000000,0.0
7,150.000000,8000.000000,0.000000,0.000000,0.000000,1.118000,0.000000,0.0
0,100000.000000,0.000000,0.000000,0.000000,0.000031,0.000000,0.000000,10.000000
1,500.000000,2000.000000,22.360000,0.000000,-0.025018,2.236000,0.000000,10.000000
2,750.000000,-3000.000000,-18.250000,0.000000,0.011035,-1.825000,0.000000,10.000000
3,25.000000,4000.000000,15.810000,0.000000,-0.006338,1.581000,0.000000,10.000000
4,300.000000,-5000.000000,-14.140000,0.000000,0.004101,-1.414000,0.000000,10.000000
5,200.000000,6000.000000,12.910000,0.000000,-0.002792,1.291000,0.000000,10.000000
6,400.000000,-7000.000000,-11.950000,0.000000,0.002171,-1.195000,0.000000,10.000000
7,150.000000,8000.000000,11.180000,0.000000,-0.001638,1.118000,0.000000,10.000000
0,100000.000000,0.000310,0.000000,0.000000,0.000062,0.000001,0.000000,20.000000
1,500.000000,1999.749819,44.720000,0.000000,-0.050032,2.235720,0.000000,20.000000
2,750.000000,-2999.889647,-36.500000,0.000000,0.022070,-1.824932,0.000000,20.000000
3,25.000000,3999.936621,31.620000,0.000000,-0.012676,1.580976,0.000000,20.000000
4,300.000000,-4999.958994,-28.280000,0.000000,0.008201,-1.413989,0.000000,20.000000
5,200.000000,5999.972081,25.820000,0.000000,-0.005584,1.290994,0.000000,20.000000
6,400.000000,-6999.978291,-23.900000,0.000000,0.004342,-1.194997,0.000000,20.000000
7,150.000000,7999.983623,22.360000,0.000000,-0.003275,1.117998,0.000000,20.000000
0,100000.000000,0.000929,0.000009,0.000000,0.000093,0.000003,0.000000,30.000000
1,500.000000,1999.249503,67.077202,0.000000,-0.075037,2.235161,0.000000,30.000000
2,750.000000,-2999.668946,-54.749320,0.000000,0.033104,-1.824796,0.000000,30.000000
3,25.000000,3999.809863,47.429755,0.000000,-0.019013,1.580927,0.000000,30.000000
4,300.000000,-4999.876984,-42.419889,0.000000,0.012301,-1.413967,0.000000,30.000000
5,200.000000,5999.916244,38.729940,0.000000,-0.008376,1.290982,0.000000,30.000000
6,400.000000,-6999.934872,-35.849966,0.000000,0.006513,-1.194990,0.000000,30.000000
7,150.000000,7999.950869,33.539979,0.000000,-0.004913,1.117994,0.000000,30.000000
0,100000.000000,0.001857,0.000035,0.000000,0.000124,0.000005,0.000000,40.000000
1,500.000000,1998.499130,89.428809,0.000000,-0.100032,2.234322,0.000000,40.000000
2,750.000000,-2999.337909,-72.997282,0.000000,0.044136,-1.824592,0.000000,40.000000
3,25.000000,3999.619731,63.239021,0.000000,-0.025350,1.580853,0.000000,40.000000
4,300.000000,-4999.753969,-56.559556,0.000000,0.016402,-1.413933,0.000000,40.000000
5,200.000000,5999.832488,51.639761,0.000000,-0.011167,1.290964,0.000000,40.000000
6,400.000000,-6999.869745,-47.799866,0.000000,0.008684,-1.194980,0.000000,40.000000
7,150.000000,7999.901738,44.719915,0.000000,-0.006551,1.117987,0.000000,40.000000
0,100000.000000,0.003094,0.000086,0.000000,0.000155,0.000009,0.000000,50.000000
1,500.000000,1997.498810,111.772026,0.000000,-0.125013,2.233203,0.000000,50.000000
2,750.000000,-2998.896549,-91.243205,0.000000,0.055166,-1.824320,0.000000,50.000000
3,25.000000,3999.366227,79.047553,0.000000,-0.031687,1.580755,0.000000,50.000000
4,300.000000,-4999.589952,-70.698890,0.000000,0.020502,-1.413889,0.000000,50.000000
5,200.000000,5999.720814,64.549403,0.000000,-0.013959,1.290940,0.000000,50.000000
6,400.000000,-6999.782909,-59.749664,0.000000,0.010854,-1.194966,0.000000,50.000000
7,150.000000,7999.836230,55.899786,0.000000,-0.008188,1.117979,0.000000,50.000000
0,100000.000000,0.004639,0.000173,0.000000,0.000185,0.000013,0.000000,60.000000
1,500.000000,1996.248683,134.104058,0.000000,-0.149976,2.231806,0.000000,60.000000
2,750.000000,-2998.344886,-109.486410,0.000000,0.066194,-1.823981,0.000000,60.000000
3,25.000000,3999.049357,94.855106,0.000000,-0.038023,1.580633,0.000000,60.000000
4,300.000000,-4999.384933,-84.837781,0.000000,0.024602,-1.413834,0.000000,60.000000
5,200.000000,5999.581224,77.458806,0.000000,-0.016751,1.290910,0.000000,60.000000
6,400.000000,-6999.674365,-71.699329,0.000000,0.013025,-1.194950,0.000000,60.000000
7,150.000000,7999.754346,67.079573,0.000000,-0.009826,1.117968,0.000000,60.000000
0,100000.000000,0.006492,0.000302,0.000000,0.000216,0.000018,0.000000,70.000000
1,500.000000,1994.748919,156.422114,0.000000,-0.174920,2.230129,0.000000,70.000000
2,750.000000,-2997.682941,-127.726218,0.000000,0.077220,-1.823573,0.000000,70.000000
3,25.000000,3998.669126,110.661435,0.000000,-0.044358,1.580486,0.000000,70.000000
4,300.000000,-4999.138917,-98.976116,0.000000,0.028701,-1.413767,0.000000,70.000000
5,200.000000,5999.413717,90.367911,0.000000,-0.019542,1.290875,0.000000,70.000000
6,400.000000,-6999.544113,-83.648826,0.000000,0.015196,-1.194930,0.000000,70.000000
7,150.000000,7999.656086,78.259253,0.000000,-0.011464,1.117955,0.000000,70.000000
0,100000.000000,0.008651,0.000483,0.000000,0.000247,0.000024,0.000000,80.000000
1,500.000000,1992.999721,178.723405,0.000000,-0.199840,2.228174,0.000000,80.000000
2,750.000000,-2996.910742,-145.961950,0.000000,0.088242,-1.823098,0.000000,80.000000
3,25.000000,3998.225543,126.466296,0.000000,-0.050693,1.580315,0.000000,80.000000
4,300.000000,-4998.851904,-113.113786,0.000000,0.032801,-1.413689,0.000000,80.000000
5,200.000000,5999.218295,103.276657,0.000000,-0.022334,1.290833,0.000000,80.000000
6,400.000000,-6999.392154,-95.598121,0.000000,0.017367,-1.194906,0.000000,80.000000
7,150.000000,7999.541449,89.438804,0.000000,-0.013101,1.117940,0.000000,80.000000
0,100000.000000,0.011116,0.000725,0.000000,0.000277,0.000031,0.000000,90.000000
1,500.000000,1991.001323,201.005143,0.000000,-0.224733,2.225940,0.000000,90.000000
2,750.000000,-2996.028320,-164.192928,0.000000,0.099261,-1.822554,0.000000,90.000000
3,25.000000,3997.718617,142.269445,0.000000,-0.057026,1.580119,0.000000,90.000000
4,300.000000,-4998.523898,-127.250679,0.000000,0.036900,-1.413601,0.000000,90.000000
5,200.000000,5998.994959,116.184986,0.000000,-0.025125,1.290785,0.000000,90.000000
6,400.000000,-6999.218488,-107.547181,0.000000,0.019537,-1.194879,0.000000,90.000000
7,150.000000,7999.410437,100.618206,0.000000,-0.014739,1.117923,0.000000,90.000000
0,100000.000000,0.013886,0.001035,0.000000,0.000307,0.000039,0.000000,100.000000
1,500.000000,1988.753988,223.264547,0.000000,-0.249598,2.223429,0.000000,100.000000
2,750.000000,-2995.035708,-182.418472,0.000000,0.110276,-1.821943,0.000000,100.000000
3,25.000000,3997.148356,158.070635,0.000000,-0.063358,1.579899,0.000000,100.000000
4,300.000000,-4998.154903,-141.386685,0.000000,0.040998,-1.413501,0.000000,100.000000
5,200.000000,5998.743710,129.092837,0.000000,-0.027916,1.290731,0.000000,100.000000
6,400.000000,-6999.023117,-119.495974,0.000000,0.021708,-1.194849,0.000000,100.000000
7,150.000000,7999.263049,111.797437,0.000000,-0.016376,1.117904,0.000000,100.000000
0,100000.000000,0.016959,0.001423,0.000000,0.000338,0.000047,0.000000,110.000000
1,500.000000,1986.258012,245.498835,0.000000,-0.274429,2.220640,0.000000,110.000000
2,750.000000,-2993.932948,-200.637906,0.000000,0.121287,-1.821264,0.000000,110.000000
3,25.000000,3996.514772,173.869624,0.000000,-0.069690,1.579654,0.000000,110.000000
4,300.000000,-4997.744922,-155.521692,0.000000,0.045096,-1.413390,0.000000,110.000000
5,200.000000,5998.464550,142.000151,0.000000,-0.030707,1.290672,0.000000,110.000000
6,400.000000,-6998.806040,-131.444464,0.000000,0.023878,-1.194815,0.000000,110.000000
7,150.000000,7999.099287,122.976476,0.000000,-0.018014,1.117883,0.000000,110.000000
0,100000.000000,0.020335,0.001897,0.000000,0.000368,0.000057,0.000000,120.000000
1,500.000000,1983.513720,267.705231,0.000000,-0.299225,2.217573,0.000000,120.000000
2,750.000000,-2992.720081,-218.850550,0.000000,0.132293,-1.820518,0.000000,120.000000
3,25.000000,3995.817877,189.666165,0.000000,-0.076019,1.579385,0.000000,120.000000
4,300.000000,-4997.293961,-169.655589,0.000000,0.049194,-1.413268,0.000000,120.000000
5,200.000000,5998.157481,154.906868,0.000000,-0.033498,1.290606,0.000000,120.000000
6,400.000000,-6998.567259,-143.392618,0.000000,0.026048,-1.194779,0.000000,120.000000
7,150.000000,7998.919150,134.155302,0.000000,-0.019651,1.117859,0.000000,120.000000
0,100000.000000,0.024011,0.002465,0.000000,0.000398,0.000067,0.000000,130.000000
1,500.000000,1980.521470,289.880964,0.000000,-0.323982,2.214230,0.000000,130.000000
2,750.000000,-2991.397156,-237.055728,0.000000,0.143293,-1.819703,0.000000,130.000000
3,25.000000,3995.057684,205.460015,0.000000,-0.082348,1.579091,0.000000,130.000000
4,300.000000,-4996.802024,-183.788265,0.000000,0.053291,-1.413134,0.000000,130.000000
5,200.000000,5997.822504,167.812928,0.000000,-0.036288,1.290534,0.000000,130.000000
6,400.000000,-6998.306776,-155.340403,0.000000,0.028219,-1.194738,0.000000,130.000000
7,150.000000,7998.722638,145.333892,0.000000,-0.021288,1.117833,0.000000,130.000000
0,100000.000000,0.027987,0.003137,0.000000,0.000427,0.000078,0.000000,140.000000
1,500.000000,1977.281650,312.023266,0.000000,-0.348697,2.210611,0.000000,140.000000
2,750.000000,-2989.964223,-255.252762,0.000000,0.154288,-1.818821,0.000000,140.000000
3,25.000000,3994.234208,221.250928,0.000000,-0.088674,1.578773,0.000000,140.000000
4,300.000000,-4996.269116,-197.919610,0.000000,0.057387,-1.412990,0.000000,140.000000
5,200.000000,5997.459621,180.718273,0.000000,-0.039079,1.290457,0.000000,140.000000
6,400.000000,-6998.024590,-167.287786,0.000000,0.030389,-1.194695,0.000000,140.000000
7,150.000000,7998.509754,156.512227,0.000000,-0.022926,1.117806,0.000000,140.000000
0,100000.000000,0.032260,0.003920,0.000000,0.000457,0.000090,0.000000,150.000000
1,500.000000,1973.794679,334.129375,0.000000,-0.373367,2.206716,0.000000,150.000000
2,750.000000,-2988.421339,-273.440975,0.000000,0.165278,-1.817872,0.000000,150.000000
3,25.000000,3993.347465,237.038660,0.000000,-0.094999,1.578431,0.000000,150.000000
4,300.000000,-4995.695243,-212.049512,0.000000,0.061483,-1.412835,0.000000,150.000000
5,200.000000,5997.068834,193.622841,0.000000,-0.041869,1.290373,0.000000,150.000000
6,400.000000,-6997.720704,-179.234732,0.000000,0.032559,-1.194648,0.000000,150.000000
7,150.000000,7998.280497,167.690283,0.000000,-0.024563,1.117776,0.000000,150.000000
0,100000.000000,0.036829,0.004822,0.000000,0.000486,0.000103,0.000000,160.000000
1,500.000000,1970.061005,356.196532,0.000000,-0.397990,2.202545,0.000000,160.000000
2,750.000000,-2986.768562,-291.619690,0.000000,0.176260,-1.816854,0.000000,160.000000
3,25.000000,3992.397471,252.822966,0.000000,-0.101323,1.578064,0.000000,160.000000
4,300.000000,-4995.080412,-226.177860,0.000000,0.065578,-1.412668,0.000000,160.000000
5,200.000000,5996.650146,206.526573,0.000000,-0.044659,1.290284,0.000000,160.000000
6,400.000000,-6997.395119,-191.181209,0.000000,0.034728,-1.194597,0.000000,160.000000
7,150.000000,7998.034867,178.868041,0.000000,-0.026200,1.117744,0.000000,160.000000
0,100000.000000,0.041692,0.005854,0.000000,0.000515,0.000117,0.000000,170.000000
1,500.000000,1966.081109,378.221987,0.000000,-0.422561,2.198101,0.000000,170.000000
2,750.000000,-2985.005957,-309.788233,0.000000,0.187237,-1.815769,0.000000,170.000000
3,25.000000,3991.384245,268.603602,0.000000,-0.107644,1.577672,0.000000,170.000000
4,300.000000,-4994.424628,-240.304544,0.000000,0.069673,-1.412491,0.000000,170.000000
5,200.000000,5996.203559,219.429410,0.000000,-0.047448,1.290188,0.000000,170.000000
6,400.000000,-6997.047835,-203.127182,0.000000,0.036898,-1.194544,0.000000,170.000000
7,150.000000,7997.772866,190.045478,0.000000,-0.027837,1.117710,0.000000,170.000000
0,100000.000000,0.046847,0.007022,0.000000,0.000544,0.000131,0.000000,180.000000
1,500.000000,1961.855502,400.202992,0.000000,-0.447078,2.193382,0.000000,180.000000
2,750.000000,-2983.133592,-327.945927,0.000000,0.198205,-1.814617,0.000000,180.000000
3,25.000000,3990.307805,284.380322,0.000000,-0.113963,1.577256,0.000000,180.000000
4,300.000000,-4993.727899,-254.429452,0.000000,0.073767,-1.412302,0.000000,180.000000
5,200.000000,5995.729076,232.331291,0.000000,-0.050238,1.290087,0.000000,180.000000
6,400.000000,-6996.678855,-215.072618,0.000000,0.039067,-1.194487,0.000000,180.000000
7,150.000000,7997.494494,201.222573,0.000000,-0.029474,1.117673,0.000000,180.000000
0,100000.000000,0.052291,0.008335,0.000000,0.000573,0.000147,0.000000,190.000000
1,500.000000,1957.384724,422.136810,0.000000,-0.471538,2.188390,0.000000,190.000000
2,750.000000,-2981.151538,-346.092098,0.000000,0.209167,-1.813397,0.000000,190.000000
3,25.000000,3989.168173,300.152882,0.000000,-0.120280,1.576816,0.000000,190.000000
4,300.000000,-4992.990233,-268.552473,0.000000,0.077860,-1.412102,0.000000,190.000000
5,200.000000,5995.226699,245.232158,0.000000,-0.053027,1.289979,0.000000,190.000000
6,400.000000,-6996.288180,-227.017483,0.000000,0.041237,-1.194426,0.000000,190.000000
7,150.000000,7997.199753,212.399306,0.000000,-0.031111,1.117635,0.000000,190.000000
0,100000.000000,0.058023,0.009802,0.000000,0.000602,0.000163,0.000000,200.000000
1,500.000000,1952.669349,444.020705,0.000000,-0.495937,2.183125,0.000000,200.000000
2,750.000000,-2979.059872,-364.226070,0.000000,0.220120,-1.812110,0.000000,200.000000
3,25.000000,3987.965369,315.921037,0.000000,-0.126595,1.576351,0.000000,200.000000
4,300.000000,-4992.211637,-282.673497,0.000000,0.081952,-1.411891,0.000000,200.000000
5,200.000000,5994.696432,258.131950,0.000000,-0.055815,1.289866,0.000000,200.000000
6,400.000000,-6995.875813,-238.961744,0.000000,0.043406,-1.194362,0.000000,200.000000
7,150.000000,7996.888642,223.575654,0.000000,-0.032748,1.117594,0.000000,200.000000
0,100000.000000,0.064040,0.011430,0.000000,0.000630,0.000180,0.000000,210.000000
1,500.000000,1947.709978,465.851952,0.000000,-0.520273,2.177588,0.000000,210.000000
2,750.000000,-2976.858673,-382.347170,0.000000,0.231065,-1.810755,0.000000,210.000000
3,25.000000,3986.699415,331.684542,0.000000,-0.132908,1.575861,0.000000,210.000000
4,300.000000,-4991.392120,-296.792411,0.000000,0.086043,-1.411669,0.000000,210.000000
5,200.000000,5994.138278,271.030608,0.000000,-0.058604,1.289746,0.000000,210.000000
6,400.000000,-6995.441753,-250.905368,0.000000,0.045575,-1.194295,0.000000,210.000000
7,150.000000,7996.561162,234.751595,0.000000,-0.034385,1.117551,0.000000,210.000000
0,100000.000000,0.070340,0.013229,0.000000,0.000658,0.000198,0.000000,220.000000
1,500.000000,1942.507245,487.627833,0.000000,-0.544543,2.171780,0.000000,220.000000
2,750.000000,-2974.548027,-400.454724,0.000000,0.242001,-1.809334,0.000000,220.000000
3,25.000000,3985.370337,347.443153,0.000000,-0.139218,1.575347,0.000000,220.000000
4,300.000000,-4990.531690,-310.909105,0.000000,0.090133,-1.411436,0.000000,220.000000
5,200.000000,5993.552239,283.928072,0.000000,-0.061392,1.289621,0.000000,220.000000
6,400.000000,-6994.986004,-262.848320,0.000000,0.047744,-1.194225,0.000000,220.000000
7,150.000000,7996.217316,245.927110,0.000000,-0.036021,1.117507,0.000000,220.000000
0,100000.000000,0.076920,0.015206,0.000000,0.000686,0.000216,0.000000,230.000000
1,500.000000,1937.061811,509.345635,0.000000,-0.568744,2.165702,0.000000,230.000000
2,750.000000,-2972.128021,-418.548060,0.000000,0.252927,-1.807845,0.000000,230.000000
3,25.000000,3983.978158,363.196624,0.000000,-0.145525,1.574809,0.000000,230.000000
4,300.000000,-4989.630356,-325.023468,0.000000,0.094223,-1.411192,0.000000,230.000000
5,200.000000,5992.938319,296.824282,0.000000,-0.064180,1.289490,0.000000,230.000000
6,400.000000,-6994.508568,-274.790567,0.000000,0.049912,-1.194151,0.000000,230.000000
7,150.000000,7995.857103,257.102176,0.000000,-0.037658,1.117460,0.000000,230.000000
0,100000.000000,0.083776,0.017370,0.000000,0.000713,0.000236,0.000000,240.000000
1,500.000000,1931.374371,531.002656,0.000000,-0.592872,2.159354,0.000000,240.000000
2,750.000000,-2969.598748,-436.626506,0.000000,0.263844,-1.806288,0.000000,240.000000
3,25.000000,3982.522905,378.944711,0.000000,-0.151830,1.574246,0.000000,240.000000
4,300.000000,-4988.688129,-339.135389,0.000000,0.098311,-1.410937,0.000000,240.000000
5,200.000000,5992.296522,309.719178,0.000000,-0.066967,1.289352,0.000000,240.000000
6,400.000000,-6994.009446,-286.732075,0.000000,0.052081,-1.194074,0.000000,240.000000
7,150.000000,7995.480524,268.276772,0.000000,-0.039294,1.117410,0.000000,240.000000
0,100000.000000,0.090907,0.019729,0.000000,0.000740,0.000256,0.000000,250.000000
1,500.000000,1925.445648,552.596200,0.000000,-0.616925,2.152738,0.000000,250.000000
2,750.000000,-2966.960304,-454.689390,0.000000,0.274751,-1.804665,0.000000,250.000000
3,25.000000,3981.004605,394.687170,0.000000,-0.158132,1.573658,0.000000,250.000000
4,300.000000,-4987.705018,-353.244756,0.000000,0.102398,-1.410670,0.000000,250.000000
5,200.000000,5991.626852,322.612702,0.000000,-0.069754,1.289209,0.000000,250.000000
6,400.000000,-6993.488641,-298.672811,0.000000,0.054249,-1.193993,0.000000,250.000000
7,150.000000,7995.087581,279.450876,0.000000,-0.040931,1.117359,0.000000,250.000000
0,100000.000000,0.098310,0.022291,0.000000,0.000767,0.000277,0.000000,260.000000
1,500.000000,1919.276395,574.123582,0.000000,-0.640900,2.145854,0.000000,260.000000
2,750.000000,-2964.212790,-472.736040,0.000000,0.285648,-1.802975,0.000000,260.000000
3,25.000000,3979.423285,410.423754,0.000000,-0.164431,1.573047,0.000000,260.000000
4,300.000000,-4986.681034,-367.351459,0.000000,0.106485,-1.410393,0.000000,260.000000
5,200.000000,5990.929312,335.504792,0.000000,-0.072541,1.289060,0.000000,260.000000
6,400.000000,-6992.946155,-310.612741,0.000000,0.056417,-1.193909,0.000000,260.000000
7,150.000000,7994.678275,290.624468,0.000000,-0.042567,1.117306,0.000000,260.000000
0,100000.000000,0.105980,0.025063,0.000000,0.000794,0.000299,0.000000,270.000000
1,500.000000,1912.867395,595.582122,0.000000,-0.664793,2.138703,0.000000,270.000000
2,750.000000,-2961.356311,-490.765788,0.000000,0.296534,-1.801218,0.000000,270.000000
3,25.000000,3977.778976,426.154220,0.000000,-0.170727,1.572410,0.000000,270.000000
4,300.000000,-4985.616187,-381.455385,0.000000,0.110570,-1.410104,0.000000,270.000000
5,200.000000,5990.203906,348.395389,0.000000,-0.075327,1.288904,0.000000,270.000000
6,400.000000,-6992.381989,-322.551831,0.000000,0.058584,-1.193822,0.000000,270.000000
7,150.000000,7994.252607,301.797526,0.000000,-0.044203,1.117250,0.000000,270.000000
0,100000.000000,0.113916,0.028055,0.000000,0.000820,0.000322,0.000000,280.000000
1,500.000000,1906.219463,616.969155,0.000000,-0.688602,2.131287,0.000000,280.000000
2,750.000000,-2958.390975,-508.777964,0.000000,0.307408,-1.799393,0.000000,280.000000
3,25.000000,3976.071707,441.878322,0.000000,-0.177020,1.571749,0.000000,280.000000
4,300.000000,-4984.510489,-395.556425,0.000000,0.114654,-1.409804,0.000000,280.000000
5,200.000000,5989.450639,361.284434,0.000000,-0.078112,1.288743,0.000000,280.000000
6,400.000000,-6991.796148,-334.490048,0.000000,0.060752,-1.193731,0.000000,280.000000
7,150.000000,7993.810578,312.970027,0.000000,-0.045839,1.117192,0.000000,280.000000
0,100000.000000,0.122113,0.031274,0.000000,0.000846,0.000345,0.000000,290.000000
1,500.000000,1899.333441,638.282020,0.000000,-0.712324,2.123605,0.000000,290.000000
2,750.000000,-2955.316895,-526.771899,0.000000,0.318271,-1.797503,0.000000,290.000000
3,25.000000,3974.301510,457.595815,0.000000,-0.183309,1.571064,0.000000,290.000000
4,300.000000,-4983.363951,-409.654466,0.000000,0.118736,-1.409493,0.000000,290.000000
5,200.000000,5988.669514,374.171866,0.000000,-0.080898,1.288576,0.000000,290.000000
6,400.000000,-6991.188632,-346.427359,0.000000,0.062919,-1.193637,0.000000,290.000000
7,150.000000,7993.352189,324.141952,0.000000,-0.047475,1.117133,0.000000,290.000000
0,100000.000000,0.130569,0.034728,0.000000,0.000871,0.000370,0.000000,300.000000
1,500.000000,1892.210202,659.518071,0.000000,-0.735955,2.115660,0.000000,300.000000
2,750.000000,-2952.134189,-544.746925,0.000000,0.329121,-1.795545,0.000000,300.000000
3,25.000000,3972.468418,473.306456,0.000000,-0.189595,1.570354,0.000000,300.000000
4,300.000000,-4982.176586,-423.749398,0.000000,0.122818,-1.409171,0.000000,300.000000
5,200.000000,5987.860537,387.057626,0.000000,-0.083683,1.288403,0.000000,300.000000
6,400.000000,-6990.559446,-358.363729,0.000000,0.065086,-1.193540,0.000000,300.000000
7,150.000000,7992.877441,335.313278,0.000000,-0.049110,1.117071,0.000000,300.000000
0,100000.000000,0.139279,0.038425,0.000000,0.000896,0.000395,0.000000,310.000000
1,500.000000,1884.850647,680.674668,0.000000,-0.759494,2.107452,0.000000,310.000000
2,750.000000,-2948.842976,-562.702376,0.000000,0.339959,-1.793521,0.000000,310.000000
3,25.000000,3970.572464,489.009998,0.000000,-0.195878,1.569620,0.000000,310.000000
4,300.000000,-4980.948407,-437.841109,0.000000,0.126898,-1.408838,0.000000,310.000000
5,200.000000,5987.023712,399.941654,0.000000,-0.086467,1.288224,0.000000,310.000000
6,400.000000,-6989.908590,-370.299124,0.000000,0.067252,-1.193439,0.000000,310.000000
7,150.000000,7992.386336,346.483985,0.000000,-0.050746,1.117007,0.000000,310.000000
0,100000.000000,0.148240,0.042373,0.000000,0.000921,0.000421,0.000000,320.000000
1,500.000000,1877.255709,701.749185,0.000000,-0.782936,2.098982,0.000000,320.000000
2,750.000000,-2945.443382,-580.637584,0.000000,0.350785,-1.791430,0.000000,320.000000
3,25.000000,3968.613683,504.706198,0.000000,-0.202157,1.568861,0.000000,320.000000
4,300.000000,-4979.679425,-451.929488,0.000000,0.130977,-1.408494,0.000000,320.000000
5,200.000000,5986.159044,412.823891,0.000000,-0.089251,1.288039,0.000000,320.000000
6,400.000000,-6989.236069,-382.233512,0.000000,0.069418,-1.193335,0.000000,320.000000
7,150.000000,7991.878875,357.654050,0.000000,-0.052382,1.116940,0.000000,320.000000
0,100000.000000,0.157448,0.046580,0.000000,0.000945,0.000447,0.000000,330.000000
1,500.000000,1869.426349,722.739004,0.000000,-0.806279,2.090252,0.000000,330.000000
2,750.000000,-2941.935536,-598.551886,0.000000,0.361597,-1.789273,0.000000,330.000000
3,25.000000,3966.592111,520.394809,0.000000,-0.208433,1.568078,0.000000,330.000000
4,300.000000,-4978.369655,-466.014423,0.000000,0.135055,-1.408138,0.000000,330.000000
5,200.000000,5985.266537,425.704276,0.000000,-0.092034,1.287847,0.000000,330.000000
6,400.000000,-6988.541885,-394.166858,0.000000,0.071584,-1.193227,0.000000,330.000000
7,150.000000,7991.355060,368.823452,0.000000,-0.054017,1.116872,0.000000,330.000000
0,100000.000000,0.166899,0.051053,0.000000,0.000969,0.000475,0.000000,340.000000
1,500.000000,1861.363557,743.641523,0.000000,-0.829521,2.081262,0.000000,340.000000
2,750.000000,-2938.319570,-616.444616,0.000000,0.372395,-1.787050,0.000000,340.000000
3,25.000000,3964.507785,536.075588,0.000000,-0.214704,1.567270,0.000000,340.000000
4,300.000000,-4977.019110,-480.095804,0.000000,0.139131,-1.407771,0.000000,340.000000
5,200.000000,5984.346197,438.582750,0.000000,-0.094817,1.287650,0.000000,340.000000
6,400.000000,-6987.826041,-406.099129,0.000000,0.073750,-1.193116,0.000000,340.000000
7,150.000000,7990.814892,379.992171,0.000000,-0.055652,1.116801,0.000000,340.000000
0,100000.000000,0.176589,0.055801,0.000000,0.000993,0.000503,0.000000,350.000000
1,500.000000,1853.068351,764.454146,0.000000,-0.852657,2.072015,0.000000,350.000000
2,750.000000,-2934.595623,-634.315112,0.000000,0.383179,-1.784760,0.000000,350.000000
3,25.000000,3962.360742,551.748290,0.000000,-0.220972,1.566438,0.000000,350.000000
4,300.000000,-4975.627804,-494.173518,0.000000,0.143205,-1.407394,0.000000,350.000000
5,200.000000,5983.398029,451.459253,0.000000,-0.097599,1.287447,0.000000,350.000000
6,400.000000,-6987.088540,-418.030291,0.000000,0.075915,-1.193002,0.000000,350.000000
7,150.000000,7990.258372,391.160184,0.000000,-0.057287,1.116729,0.000000,350.000000
0,100000.000000,0.186515,0.060831,0.000000,0.001016,0.000532,0.000000,360.000000
1,500.000000,1844.541781,785.174293,0.000000,-0.875686,2.062510,0.000000,360.000000
2,750.000000,-2930.763835,-652.162710,0.000000,0.393948,-1.782404,0.000000,360.000000
3,25.000000,3960.151022,567.412669,0.000000,-0.227236,1.565581,0.000000,360.000000
4,300.000000,-4974.195752,-508.247455,0.000000,0.147278,-1.407005,0.000000,360.000000
5,200.000000,5982.422038,464.333725,0.000000,-0.100381,1.287238,0.000000,360.000000
6,400.000000,-6986.329386,-429.960310,0.000000,0.078081,-1.192884,0.000000,360.000000
7,150.000000,7989.685502,402.327469,0.000000,-0.058922,1.116654,0.000000,360.000000
0,100000.000000,0.196671,0.066150,0.000000,0.001038,0.000562,0.000000,370.000000
1,500.000000,1835.784923,805.799395,0.000000,-0.898604,2.052750,0.000000,370.000000
2,750.000000,-2926.824351,-669.986749,0.000000,0.404703,-1.779982,0.000000,370.000000
3,25.000000,3957.878663,583.068481,0.000000,-0.233495,1.564700,0.000000,370.000000
4,300.000000,-4972.722970,-522.317503,0.000000,0.151350,-1.406605,0.000000,370.000000
5,200.000000,5981.418230,477.206107,0.000000,-0.103162,1.287023,0.000000,370.000000
6,400.000000,-6985.548580,-441.889153,0.000000,0.080245,-1.192763,0.000000,370.000000
7,150.000000,7989.096284,413.494007,0.000000,-0.060557,1.116577,0.000000,370.000000
0,100000.000000,0.207053,0.071766,0.000000,0.001060,0.000592,0.000000,380.000000
1,500.000000,1826.798882,826.326896,0.000000,-0.921409,2.042736,0.000000,380.000000
2,750.000000,-2922.777320,-687.786569,0.000000,0.415442,-1.777494,0.000000,380.000000
3,25.000000,3955.543709,598.715482,0.000000,-0.239751,1.563794,0.000000,380.000000
4,300.000000,-4971.209471,-536.383551,0.000000,0.155420,-1.406194,0.000000,380.000000
5,200.000000,5980.386610,490.076337,0.000000,-0.105943,1.286802,0.000000,380.000000
